epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,10420.3,0.9824,1.14084,1.22095,0.39309,0.38441,0.35915,0.27536,1.16761,16.6973,1.1937,0.00384873,0.00384873,0.00384873
123,10507.1,0.979,1.12656,1.21953,0.39764,0.38486,0.35151,0.26972,1.16667,16.7655,1.19237,0.00381953,0.00381953,0.00381953
124,10594.5,0.97702,1.1345,1.22002,0.3933,0.38137,0.35129,0.26979,1.16686,16.7769,1.19241,0.00379024,0.00379024,0.00379024
125,10682.4,0.96956,1.13473,1.21679,0.38734,0.38242,0.35169,0.26833,1.16678,16.7372,1.19271,0.00376086,0.00376086,0.00376086
126,10770.6,0.96393,1.11194,1.21232,0.39035,0.37607,0.35043,0.26751,1.16688,16.7876,1.19308,0.00373139,0.00373139,0.00373139
127,10858.5,0.97307,1.13084,1.21903,0.39458,0.37603,0.35068,0.26731,1.16663,16.8183,1.19257,0.00370184,0.00370184,0.00370184
128,10945.7,0.9695,1.12564,1.218,0.38836,0.38381,0.35105,0.26883,1.16702,16.8421,1.1941,0.00367221,0.00367221,0.00367221
129,11033.6,0.96438,1.11378,1.2153,0.38885,0.38418,0.35161,0.27024,1.16524,16.8408,1.19179,0.0036425,0.0036425,0.0036425
130,11120.8,0.96463,1.12426,1.21366,0.39037,0.3846,0.35119,0.27014,1.1646,16.8657,1.19116,0.00361273,0.00361273,0.00361273
131,11208.6,0.9697,1.1007,1.2092,0.39163,0.3798,0.35798,0.27577,1.16506,16.8781,1.19131,0.00358288,0.00358288,0.00358288
132,11295,0.96361,1.10065,1.20829,0.38883,0.37345,0.35869,0.2759,1.16474,16.8521,1.19096,0.00355296,0.00355296,0.00355296
133,11381.4,0.95921,1.10271,1.21008,0.38919,0.37631,0.35779,0.27517,1.16487,16.8622,1.1913,0.00352298,0.00352298,0.00352298
134,11468.4,0.95788,1.09682,1.20578,0.38778,0.37907,0.3583,0.2757,1.16492,16.8637,1.19066,0.00349294,0.00349294,0.00349294
135,11555.2,0.95085,1.08814,1.19994,0.38808,0.38225,0.35814,0.27586,1.16441,16.8393,1.19044,0.00346285,0.00346285,0.00346285
136,11641.4,0.9523,1.07826,1.19997,0.38931,0.38495,0.35943,0.2761,1.16452,16.8317,1.19053,0.0034327,0.0034327,0.0034327
